entrada_A.G.,entrada_C.P.,entrada_CRR,entrada_CSS,id_proyecto,num_comisiones,num_sesiones,origen,presentado_por,sanciona_A.G.,sanciona_CRR,sanciona_CSS,sanciona_PE,tipo,titulo
,,,2016-08-11 00:00:00,131186,0,2,Cámara Senadores,"Agazzi, Ernesto",,,,,PEDIDO DE INFORMES,ASOCIACIÓN RURAL DEL URUGUAY. PADRÓN INMUEBLE (PRADO). ESTADOS CONTABLES. TRIBUNAL DE CUENTAS. PRESENTACIÓN.
,,,2016-11-01 00:00:00,132477,0,1,Cámara Senadores,"Agazzi, Ernesto; Amorín, José; Delgado, Alvaro; Heber, Luis Alberto; Mieres, Pablo",,,2016-11-01 00:00:00,,DECLARACION,REPÚBLICA ITALIANA. TERREMOTOS. SOLIDARIDAD. MANIFESTACIONES.
,,,2016-12-14 00:00:00,133188,0,1,Cámara Senadores,"Agazzi, Ernesto",,,2016-12-14 00:00:00,,RESOLUCION,"AGAZZI, Ernesto. SENADOR REPUBLICA. RENUNCIA."
2016-10-14 00:00:00,,,,132139,0,0,Asamblea General,"Agazzi, Ernesto; Aristimuño, Saúl; Barreiro, Gabriela; Civila, Gonzalo; De los Santos, Oscar; Garin De Nardo, Daniel; Mahía, José Carlos; Michelini, Rafael; Mier, Sergio; Moreira, Constanza; Posada, Iván; Pozzi, Jorge; Reutor, Carlos; Sanseverino, Berta; Santalla, Mercedes; Tourné, Daisy; Viel, Stella",,,,,PROYECTO DE RESOLUCION,CONVENCION NACIONAL TRABAJADORES (CNT).  50° ANIVERSARIO FUNDACION. CONMEMORACION. CONVOCATORIA.
,,,2016-11-23 00:00:00,132804,1,2,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Berterreche, Andrés; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Otheguy Vega, Marcos Javier; Pardiñas, Yeru; Passada, Ivonne; Payssé, Daniela; Pintado, Enrique; Topolansky, Lucía; Xavier, Mónica",,,,,PROYECTO DE LEY,ENTES AUTÓNOMOS. SERVICIOS DESCENTRALIZADOS. GIRO. MODIFICACIÓN.
,,2016-12-06 00:00:00,2016-10-18 00:00:00,132117,2,4,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Ferreira, Zulimar; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Payssé, Daniela; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",,2016-12-14 00:00:00,2016-11-23 00:00:00,2017-01-04 00:00:00,LEY,INGENIERO RICARDO ROSA. TRAMO RUTA 67 (DESDE ELIAS REGULES HASTA SAUCE). DENOMINACION.
2016-09-27 00:00:00,,,,131836,0,3,Asamblea General,"Agazzi, Ernesto; Ayala, Patricia; Baráibar, Carlos; Berterreche, Andrés; Chiazzaro, Roberto; De León, Leonardo; Gelman, Macarena; Lazo, Sandra; Mahía, José Carlos; Moreira, Constanza; Passada, Ivonne; Pelegrín, Mariela; Querejeta, José; Sabini, Sebastián; Santalla, Mercedes",,,,,PROYECTO DE RESOLUCION,"RODO, José Enrique. 100 AÑOS FALLECIMIENTO. HOMENAJES. COMISION ESPECIAL. CREACION."
,,2016-12-06 00:00:00,2016-10-18 00:00:00,132114,2,4,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Ferreira, Zulimar; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Payssé, Daniela; Pintado, Enrique; Tourné, Daisy; Xavier, Mónica",,2016-12-14 00:00:00,2016-11-23 00:00:00,2017-01-04 00:00:00,LEY,"TOSCANINI, JUAN. TRAMO RUTA 69 (DESDE INTERSECCION CON RUTAS 67 Y 68 HASTA INTERSECCION CON RUTA 32). DENOMINACION."
,,,2016-07-13 00:00:00,130766,1,2,Cámara Senadores,"Agazzi, Ernesto; Aristimuño, Saúl; Ayala, Patricia; De León, Leonardo; Gallicchio Queirolo, Antonio; Gomori Rettich, Eva Cristina; Lorier, Eduardo; Martínez Huelmo, Rubén; Mujica, José; Pardiñas, Yeru; Passada, Ivonne; Paternain Rodríguez, Rafael; Pintado, Enrique; Pintos Ruiz, Julio Miguel; Topolansky, Lucía",,,,,PROYECTO DE LEY,CODIGO CIVIL. MATRIMONIO. EDAD MÍNIMA. MODIFICACION.
,,,2016-06-15 00:00:00,130280,1,1,Cámara Senadores,"Agazzi, Ernesto; Ayala, Patricia; Baráibar, Carlos; Carámbula Volpi, Marcos Gustavo; De León, Leonardo; Lazo, Sandra; Martínez Huelmo, Rubén; Michelini, Rafael; Moreira, Constanza; Mujica, José; Otheguy Vega, Marcos Javier; Passada, Ivonne; Payssé, Daniela; Topolansky, Lucía; Tourné, Daisy; Xavier, Mónica",,,,,PROYECTO DE LEY,"VILLALBA, Olegario. ESCUELA RURAL N° 97 VILLA SERRANA (LAVALLEJA). DENOMINACIÓN."
